ID,Ponto,LATITUDE,LONGITUDE,Fazenda,Município,Textura,Uso atual,Cultura,Manejo,Época,Data da coleta,A,E,gs,Ca,Ci,Ci/Ca,EUA,A/Ci,YII,ETR,Chl a,Chl b,IAF,Chl a.1,Chl b.1,IAF.1,IAF.2,Estágio,Peso Seco
D-82,82,-17.7366,-51.0778,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-87,87,-17.6578,-50.8325,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-58,58,-17.4404,-51.1598,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-81,81,-17.6003,-50.8187,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-46,46,-17.4979,-51.025,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-66,66,-17.7116,-50.8693,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-26,26,-17.4494,-51.1607,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-05,5,-17.8378,-51.0333,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-31,31,-17.6043,-51.0646,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-17,17,-17.8067,-50.8249,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-68,68,-17.6485,-50.8576,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-10,10,-17.5351,-50.8604,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-36,36,-17.4419,-51.0627,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-74,74,-17.4866,-50.8364,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-71,71,-17.4415,-51.0038,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-78,78,-17.7482,-50.9299,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-31,31,-17.8379,-51.0673,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-19,19,-17.4925,-51.0207,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-86,86,-17.4007,-51.0822,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-89,89,-17.8247,-51.0972,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
